isco4,exp_mean,exp_sd,mean_minus_sd,gradient,gradient_label
2269,0.2,0.08,0.12000000000000001,1,Gradient 1: Low
3222,0.2,0.07,0.13,1,Gradient 1: Low
5152,0.2,0.1,0.1,1,Gradient 1: Low
5165,0.2,0.03,0.17,1,Gradient 1: Low
5414,0.2,0.09,0.11000000000000001,1,Gradient 1: Low
5419,0.2,0.05,0.15000000000000002,1,Gradient 1: Low
6129,0.2,0.14,0.06,1,Gradient 1: Low
7222,0.2,0.1,0.1,1,Gradient 1: Low
8122,0.2,0.04,0.16,1,Gradient 1: Low
8182,0.2,0.04,0.16,1,Gradient 1: Low
8311,0.2,0.08,0.12000000000000001,1,Gradient 1: Low
8344,0.2,0.1,0.1,1,Gradient 1: Low
9321,0.2,0.05,0.15000000000000002,1,Gradient 1: Low
9334,0.2,0.1,0.1,1,Gradient 1: Low
9520,0.2,0.1,0.1,1,Gradient 1: Low
2653,0.19,0.1,0.09,1,Gradient 1: Low
3230,0.19,0.11,0.08,1,Gradient 1: Low
5311,0.19,0.09,0.1,1,Gradient 1: Low
6122,0.19,0.1,0.09,1,Gradient 1: Low
6130,0.19,0.11,0.08,1,Gradient 1: Low
7232,0.19,0.07,0.12,1,Gradient 1: Low
7315,0.19,0.06,0.13,1,Gradient 1: Low
7411,0.19,0.06,0.13,1,Gradient 1: Low
8113,0.19,0.12,0.07,1,Gradient 1: Low
3214,0.18,0.05,0.13,1,Gradient 1: Low
5120,0.18,0.06,0.12,1,Gradient 1: Low
5142,0.18,0.19,-0.010000000000000009,1,Gradient 1: Low
5411,0.18,0.1,0.07999999999999999,1,Gradient 1: Low
6111,0.18,0.12,0.06,1,Gradient 1: Low
6113,0.18,0.11,0.06999999999999999,1,Gradient 1: Low
6223,0.18,0.07,0.10999999999999999,1,Gradient 1: Low
7126,0.18,0.1,0.07999999999999999,1,Gradient 1: Low
7223,0.18,0.05,0.13,1,Gradient 1: Low
7231,0.18,0.04,0.13999999999999999,1,Gradient 1: Low
7313,0.18,0.05,0.13,1,Gradient 1: Low
7314,0.18,0.07,0.10999999999999999,1,Gradient 1: Low
7316,0.18,0.08,0.09999999999999999,1,Gradient 1: Low
7534,0.18,0.09,0.09,1,Gradient 1: Low
8141,0.18,0.05,0.13,1,Gradient 1: Low
8143,0.18,0.02,0.16,1,Gradient 1: Low
8331,0.18,0.06,0.12,1,Gradient 1: Low
8343,0.18,0.03,0.15,1,Gradient 1: Low
9411,0.18,0.05,0.13,1,Gradient 1: Low
9510,0.18,0.09,0.09,1,Gradient 1: Low
9612,0.18,0.11,0.06999999999999999,1,Gradient 1: Low
2636,0.17,0.12,0.05000000000000002,1,Gradient 1: Low
3255,0.17,0.07,0.1,1,Gradient 1: Low
5141,0.17,0.18,-0.009999999999999981,1,Gradient 1: Low
5163,0.17,0.17,0,1,Gradient 1: Low
6112,0.17,0.11,0.06000000000000001,1,Gradient 1: Low
6114,0.17,0.12,0.05000000000000002,1,Gradient 1: Low
6121,0.17,0.1,0.07,1,Gradient 1: Low
6222,0.17,0.1,0.07,1,Gradient 1: Low
7221,0.17,0.05,0.12000000000000001,1,Gradient 1: Low
7224,0.17,0.05,0.12000000000000001,1,Gradient 1: Low
7233,0.17,0.04,0.13,1,Gradient 1: Low
7412,0.17,0.05,0.12000000000000001,1,Gradient 1: Low
7512,0.17,0.08,0.09000000000000001,1,Gradient 1: Low
7532,0.17,0.04,0.13,1,Gradient 1: Low
7536,0.17,0.06,0.11000000000000001,1,Gradient 1: Low
8111,0.17,0.11,0.06000000000000001,1,Gradient 1: Low
8142,0.17,0.05,0.12000000000000001,1,Gradient 1: Low
8181,0.17,0.06,0.11000000000000001,1,Gradient 1: Low
8312,0.17,0.04,0.13,1,Gradient 1: Low
3251,0.16,0.1,0.06,1,Gradient 1: Low
7522,0.16,0.06,0.1,1,Gradient 1: Low
7541,0.16,0.09,0.07,1,Gradient 1: Low
8152,0.16,0.03,0.13,1,Gradient 1: Low
8156,0.16,0.02,0.14,1,Gradient 1: Low
8157,0.16,0.03,0.13,1,Gradient 1: Low
8159,0.16,0.01,0.15,1,Gradient 1: Low
2261,0.15,0.06,0.09,1,Gradient 1: Low
5329,0.15,0.03,0.12,1,Gradient 1: Low
7413,0.15,0.08,0.06999999999999999,1,Gradient 1: Low
7514,0.15,0.04,0.10999999999999999,1,Gradient 1: Low
7531,0.15,0.05,0.09999999999999999,1,Gradient 1: Low
8151,0.15,0.02,0.13,1,Gradient 1: Low
