country_name,exposure_g4,exposure_g3_g4,isco4_share,isco6_share,year,total_emp
Morocco,1.4317207941917716,3.476460480598794,2.691412047699473,10.594516096013102,2014,9378.72
Mozambique,0.49656025304542434,1.2613536695281056,0.48024655603763655,72.94687072039608,2022,12192.279
Myanmar,1.4501943519980738,3.0122699408174824,3.034595569302274,36.34798103734676,2020,22274.730999999996
Nauru,2.185194959003864,5.649399648139887,3.1549295774647894,1.2394366197183098,2021,1.775
Nepal,1.6800813350173458,4.365002612563963,2.978794331456652,17.296392165090268,2017,7397.456
Netherlands,3.8687521657016335,13.788431152943131,8.427434392559066,1.4434610368054381,2024,9811.349
New Caledonia,2.1922961012661686,10.961480506330842,0,10.115859848087089,2014,28.569
Niger,0.6214282951774905,1.0793605713688375,0.5550348229502541,73.00193783104434,2022,9257.257
Nigeria,1.1651290349683017,2.4853435157018575,0.9257354318469042,37.753936364749485,2024,71437.041
Niue,2.6109159523493615,9.2646734245283,4.811443433029908,5.591677503250974,2022,0.7690000000000001
North Macedonia,2.878041608747693,9.397048480269621,6.254378021286031,4.658575722256164,2024,692.3789999999999
Norway,3.147868674044559,11.711344368490751,5.741495093026578,2.0830123185624516,2024,2855.5280000000002
Occupied Palestinian Territory,1.437517705980158,5.528218665765241,1.6908725388418957,4.193065196987822,2024,682.961
Pakistan,1.0085795383733358,2.725913843527943,1.4620404877566535,33.771162272262764,2021,61652.465
Palau,4.145274889326786,10.612278465503962,10.832804903825831,3.8786725850771515,2020,9.461999999999998
Panama,2.3427988944162736,6.478319420508663,5.173985961344309,11.985572479160883,2024,1923.546
Papua New Guinea,1.3680145468274556,3.926631102885589,1.7974064546129556,37.30535284367477,2022,3999.93
Paraguay,2.3328812593090364,5.916819639366172,5.241276870775925,13.117577863388291,2024,2905.666
Peru,2.357295493431781,6.089520352111796,5.6426578352154655,11.393207239065383,2024,17695.543999999998
Philippines,2.9015008915897345,6.441575745398804,7.50693918372114,11.152418574442423,2023,46938.518
Poland,3.3449430982655284,11.264609835503144,7.897074024685074,6.576310976870764,2024,17190.063000000002
Portugal,3.827593665730205,11.79309978948495,9.349160135955634,2.264518834737541,2024,5112.255999999999
Puerto Rico,5.894396328232325,14.88663165022115,16.887326174165395,0.849442756613227,2020,1029.2630000000001
Republic of Korea,4.546256244283531,13.805226412806995,12.338337581900086,5.074130062169649,2024,28575.519
Republic of Moldova,1.1436979709135244,4.126237048901827,2.0608543180457857,46.89296372387182,2024,1421.7890000000002
Romania,2.350738163922013,7.687683860401571,4.815314248459892,7.880634226965852,2024,7853.34
Russian Federation,2.3136441660921157,9.883728022233948,3.458614804734619,1.8011234542170091,2024,73250.337
Rwanda,0.8491297179615857,2.313661071824705,0.9028345212102228,14.113234531926361,2024,4852.495
Saint Lucia,3.3691372195771176,8.165926396949356,7.923628182159077,7.211157868422149,2024,96.00399999999999
Samoa,1.9302451791477666,5.832183259994072,3.911040024372596,28.188430633306677,2022,52.518
Sao Tome and Principe,1.9418139869517923,4.881709677500109,2.6180087266957552,11.895081316937722,2017,20.168000000000003
Senegal,1.9942665830717905,5.537563380587784,5.06435040038888,10.172991463571089,2024,1551.1170000000002
Serbia,3.2202702509826304,9.61918806157976,8.054565641588404,17.072530497430023,2024,3100.999
Seychelles,3.018695650735653,8.322035367942423,6.332513712880649,3.820692264043881,2024,26.435000000000002
Sierra Leone,0.9571822872085425,2.1398971512369793,0.5683459828192498,45.387185456105776,2018,2554.254
Singapore,3.8519753572726927,13.315082923667939,9.101296581731026,0.11740439374769603,2024,2259.7110000000007
Slovakia,3.9528367118812455,11.764726071477911,9.858301635268912,0.8000357319007998,2024,2619.508
Slovenia,3.323399128962074,11.133526351198975,7.683039322618542,2.881214863691404,2024,998.4330000000001
Somalia,1.08391075522615,5.590576792813916,1.5357979702838438,6.20399071997406,2019,1036.204
Spain,4.035335520012931,11.698437204141856,10.022477584643992,1.9376312487424385,2024,21654.017000000003
Sri Lanka,1.6836218956904654,4.9247177826513475,3.7053305356457464,14.464659510978489,2022,7993.268
Sudan,0.8879132746995876,2.408584490333239,0.6334240936454102,33.65768023829985,2022,8236.346
Suriname,3.1569833841359203,8.559895382882798,7.83105510465613,5.52755232806493,2016,187.28
Sweden,3.20414721415309,12.786035371044765,5.853551757346048,1.657595675085184,2024,5294.717000000001
Switzerland,4.703425284254702,14.741835156608335,12.165282793345904,2.1596067463273165,2024,4762.116999999999
Tajikistan,1.1081391710598845,4.538204618916564,1.2119921668446192,2.8177183394876817,2016,2263.7110000000002
"Tanzania, United Republic of",0.5090472615201468,1.01772037779019,0.5579123021368044,60.79907475689791,2020,24891.188
Thailand,2.052787990686967,4.794537443929378,4.5653666077560695,26.250153482904516,2024,39743.840000000004
Timor-Leste,0.8241780280707468,2.316381286299654,0.762136221349894,55.797499118027524,2022,357.15399999999994
Togo,1.2754426657937543,2.5735593825785017,1.2734328746992603,39.839670861090404,2022,3362.957
Tokelau,2.04288617158717,7.328897497295217,4.137931034482759,0,2022,0.435
Tonga,2.359635831883011,7.579598433925518,5.3725750891400255,21.23949960717955,2023,33.094
Tunisia,2.106119406125895,5.855023927668712,4.612364534160555,10.410258435005796,2019,3520.5370000000003
